bundle_id,count
com.apple.appstored,232
pd.DataFrame,150
chatgpt.com,141
ips.ca.synced,114
libdispatch.dylib,102
fpdf.py,72
ips.ca.bin,60
os.path.join,59
olddsc.log,57
os.listdir,57
re.findall,56
hashlib.sha256,49
line.strip,48
swtransparency.json-2025-07-23-084037.ips,43
ckks.json-2025-07-23-084048.ips,40
com.apple.Trial-com.apple.triald,39
json.loads,39
transparency.json-2025-07-23-084040.ips,39
re.search,38
pcs.json-2025-07-23-084041.0002.ips,34
pcs.json-2025-07-23-084049.ips,34
sos.json-2025-07-23-084041.000.ips,34
sos.json-2025-07-23-084048.000.ips,34
ckks.json-2025-07-23-085627.ips,32
re.IGNORECASE,32
trust.json-2025-07-05-151520.bin,32
ckks.json-2025-07-23-084041.ips,31
datetime.strptime,30
ips.ca,29
networking.json-2025-07-23-084047.ips,29
com.apple.searchd-2025-07-22.json,27
stackshots.log,27
pcs.json-2025-07-23-085628.000.ips,26
sos.json-2025-07-23-085628.ips,26
datetime.datetime,24
fname.endswith,24
help.openai.com,24
json.anon,24
self.pages,24
sumai.panasonic.jp,24
nc.drawString,22
os.path.basename,22
jp.naver.line,21
local.json-2025-07-23-084049.000.ips,21
local.json-2025-07-23-085628.0002.ips,21
networking.json-2025-07-23-085626.ips,21
entry.get,20
local.json-2025-07-23-084041.0003.ips,20
match.group,20
npdf.output,20
datetime.fromtimestamp,19
stacks.ips,19
theinvestor.vn,19
apple.com,18
com.apple.,18
dest.upper,18
networking.json-2025-07-23-084039.ips,18
zlib.compress,18
com.openai.chat,17
denki.tss-shop.com,17
json.JSONDecodeError,17
www.monotaro.id,17
com.apple.iBooks,16
com.ctrip.EBooking,16
com.hikvision.videogo,16
content.splitlines,16
libxpc.dylib,16
nc.setFont,16
www.panasonic.com,16
decoder.py,15
en.wikipedia.org,15
shopping.yahoo.co.jp,15
ameblo.jp,14
canvas.Canvas,14
nc.save,14
pdf.directindustry.com,14
re.compile,14
reportlab.pdfgen,14
ckks.json,13
com.apple.Preferences,13
tar.gz,13
www.glassdoor.com,13
com.apple.mobileslideshow,12
com.apple.news,12
itunesstored.log,12
net.whatsapp.WhatsApp,12
panasonic.com,12
pdf.output,12
self.close,12
self.compress,12
self.state,12
thietbidiennhapkhau.com.vn,12
timestamp.isoformat,12
www.flipkart.com,12
collection.log,11
com.cebbank.ebank,11
com.czzhao.binance,11
com.facebook.Messenger,11
microstackshots.log,11
os.path.getmtime,11
