archive,member,bucket,keyword,count
part1.zip,part1.txt,MDM,mdmd,45
part1.zip,part1.txt,apps,Facebook,2
part1.zip,part1.txt,apps,TronLink,7
part1.zip,part1.txt,iOS_proc,JetsamEvent,75
part1.zip,part1.txt,iOS_proc,cloudd,14
part1.zip,part1.txt,iOS_proc,logd,33
part1.zip,part1.txt,iOS_proc,proactive_event_tracker,57
part1.zip,part1.txt,iOS_proc,triald,61
part1.zip,part1.txt,net_abnormal,WifiLQMM,3
part1.zip,part1.txt,net_abnormal,WifiLQMMetrics,3
part1.zip,part1.txt,net_abnormal,truncated,9
part2.zip,part2.txt,MDM,BackgroundShortcutRunner,56
part2.zip,part2.txt,MDM,mdmd,1
part2.zip,part2.txt,apps,Facebook,8
part2.zip,part2.txt,apps,Gmail,26
part2.zip,part2.txt,iOS_proc,JetsamEvent,57
part2.zip,part2.txt,iOS_proc,logd,1
part2.zip,part2.txt,iOS_proc,nsurlsessiond,41
part2.zip,part2.txt,iOS_proc,proactive_event_tracker,23
part2.zip,part2.txt,iOS_proc,triald,56
part2.zip,part2.txt,net_abnormal,truncated,42
part3.zip,part3.txt,MDM,BackgroundShortcutRunner,15
part3.zip,part3.txt,apps,Facebook,19
part3.zip,part3.txt,apps,Gmail,9
part3.zip,part3.txt,apps,YouTube,6
part3.zip,part3.txt,iOS_proc,JetsamEvent,47
part3.zip,part3.txt,iOS_proc,STExtractionService,1
part3.zip,part3.txt,iOS_proc,cloudd,8
part3.zip,part3.txt,iOS_proc,logd,2
part3.zip,part3.txt,iOS_proc,proactive_event_tracker,19
part3.zip,part3.txt,iOS_proc,triald,109
