,archive,member,bucket,keyword,count
0,part1.zip,part1.txt,MDM,mdmd,45
10,part1.zip,part1.txt,apps,Facebook,2
9,part1.zip,part1.txt,apps,TronLink,7
4,part1.zip,part1.txt,iOS_proc,JetsamEvent,75
2,part1.zip,part1.txt,iOS_proc,cloudd,14
5,part1.zip,part1.txt,iOS_proc,logd,33
3,part1.zip,part1.txt,iOS_proc,proactive_event_tracker,57
1,part1.zip,part1.txt,iOS_proc,triald,61
7,part1.zip,part1.txt,net_abnormal,WifiLQMM,3
6,part1.zip,part1.txt,net_abnormal,WifiLQMMetrics,3
8,part1.zip,part1.txt,net_abnormal,truncated,9
12,part2.zip,part2.txt,MDM,BackgroundShortcutRunner,56
11,part2.zip,part2.txt,MDM,mdmd,1
19,part2.zip,part2.txt,apps,Facebook,8
20,part2.zip,part2.txt,apps,Gmail,26
16,part2.zip,part2.txt,iOS_proc,JetsamEvent,57
17,part2.zip,part2.txt,iOS_proc,logd,1
14,part2.zip,part2.txt,iOS_proc,nsurlsessiond,41
15,part2.zip,part2.txt,iOS_proc,proactive_event_tracker,23
13,part2.zip,part2.txt,iOS_proc,triald,56
18,part2.zip,part2.txt,net_abnormal,truncated,42
21,part3.zip,part3.txt,MDM,BackgroundShortcutRunner,15
28,part3.zip,part3.txt,apps,Facebook,19
29,part3.zip,part3.txt,apps,Gmail,9
30,part3.zip,part3.txt,apps,YouTube,6
26,part3.zip,part3.txt,iOS_proc,JetsamEvent,47
25,part3.zip,part3.txt,iOS_proc,STExtractionService,1
23,part3.zip,part3.txt,iOS_proc,cloudd,8
27,part3.zip,part3.txt,iOS_proc,logd,2
24,part3.zip,part3.txt,iOS_proc,proactive_event_tracker,19
22,part3.zip,part3.txt,iOS_proc,triald,109
