,date,time,device_norm,bug_type,hit_keyword,ref,time_score,confidence
35,2025-06-01,00:00:00,device,,InstallConfigurationProfile,My-Viettel-App-MDM.pdf,3,0.9
38,2025-06-01,00:00:00,device,,MCProfile,My-Viettel-App-MDM.pdf,3,0.9
39,2025-06-01,00:00:00,device,,MCProfileTrustLevel,My-Viettel-App-MDM.pdf,3,0.9
40,2025-06-01,00:00:00,device,,MCXPreferences,My-Viettel-App-MDM.pdf,3,0.9
48,2025-06-01,00:00:00,device,,Meta,My-Viettel-App-MDM.pdf,3,0.8
47,2025-06-01,00:00:00,device,,Mobifone,My-Viettel-App-MDM.pdf,3,0.8
43,2025-06-01,00:00:00,device,,MyViettel,My-Viettel-App-MDM.pdf,3,0.8
42,2025-06-01,00:00:00,device,,RTCR,My-Viettel-App-MDM.pdf,3,0.9
36,2025-06-01,00:00:00,device,,RemoveConfigurationProfile,My-Viettel-App-MDM.pdf,3,0.9
46,2025-06-01,00:00:00,device,,VNPT,My-Viettel-App-MDM.pdf,3,0.8
45,2025-06-01,00:00:00,device,,Viettel,My-Viettel-App-MDM.pdf,3,0.8
44,2025-06-01,00:00:00,device,,com.vnp.myviettel,My-Viettel-App-MDM.pdf,3,0.8
41,2025-06-01,00:00:00,device,,mdmd,My-Viettel-App-MDM.pdf,3,0.9
37,2025-06-01,00:00:00,device,,mobileconfig,My-Viettel-App-MDM.pdf,3,0.9
5,2025-06-01,12:32:57,iPad,225,145,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
0,2025-06-01,12:32:57,iPad,225,211,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
1,2025-06-01,12:32:57,iPad,225,225,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
6,2025-06-01,12:32:57,iPad,225,288,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
2,2025-06-01,12:32:57,iPad,225,298,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
3,2025-06-01,12:32:57,iPad,225,309,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
4,2025-06-01,12:32:57,iPad,225,313,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
13,2025-06-01,12:32:57,iPad,225,BIDV,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
9,2025-06-01,12:32:57,iPad,225,Binance,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
10,2025-06-01,12:32:57,iPad,225,Bybit,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
11,2025-06-01,12:32:57,iPad,225,CEBBank,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
14,2025-06-01,12:32:57,iPad,225,Facebook,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
15,2025-06-01,12:32:57,iPad,225,Gmail,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
12,2025-06-01,12:32:57,iPad,225,HSBC,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
20,2025-06-01,12:32:57,iPad,225,Meta,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
19,2025-06-01,12:32:57,iPad,225,Microsoft,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
7,2025-06-01,12:32:57,iPad,225,TronLink,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
18,2025-06-01,12:32:57,iPad,225,VNG,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
17,2025-06-01,12:32:57,iPad,225,Viettel,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
16,2025-06-01,12:32:57,iPad,225,YouTube,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
8,2025-06-01,12:32:57,iPad,225,com.tronlink.hdwallet,xp_amp_app_usage_dnu-2025-06-01-123257.ips,3,0.8
32,2025-06-01,13:05:16,iP15P-Ghost,309,145,JetsamEvent-2025-06-01-130516.ips,3,0.8
27,2025-06-01,13:05:16,iP15P-Ghost,309,211,JetsamEvent-2025-06-01-130516.ips,3,0.8
28,2025-06-01,13:05:16,iP15P-Ghost,309,225,JetsamEvent-2025-06-01-130516.ips,3,0.8
33,2025-06-01,13:05:16,iP15P-Ghost,309,288,JetsamEvent-2025-06-01-130516.ips,3,0.8
29,2025-06-01,13:05:16,iP15P-Ghost,309,298,JetsamEvent-2025-06-01-130516.ips,3,0.8
30,2025-06-01,13:05:16,iP15P-Ghost,309,309,JetsamEvent-2025-06-01-130516.ips,3,0.8
31,2025-06-01,13:05:16,iP15P-Ghost,309,313,JetsamEvent-2025-06-01-130516.ips,3,0.8
34,2025-06-01,13:05:16,iP15P-Ghost,309,AAD,JetsamEvent-2025-06-01-130516.ips,3,0.8
22,2025-06-01,13:05:16,iP15P-Ghost,309,RTCR,JetsamEvent-2025-06-01-130516.ips,3,0.9
24,2025-06-01,13:05:16,iP15P-Ghost,309,cloudd,JetsamEvent-2025-06-01-130516.ips,3,0.9
21,2025-06-01,13:05:16,iP15P-Ghost,309,installcoordinationd,JetsamEvent-2025-06-01-130516.ips,3,0.9
26,2025-06-01,13:05:16,iP15P-Ghost,309,logd,JetsamEvent-2025-06-01-130516.ips,3,0.9
25,2025-06-01,13:05:16,iP15P-Ghost,309,nsurlsessiond,JetsamEvent-2025-06-01-130516.ips,3,0.9
23,2025-06-01,13:05:16,iP15P-Ghost,309,triald,JetsamEvent-2025-06-01-130516.ips,3,0.9
